date,metric,suburb_value,cr_value,sa3_value,area_name,property_type
2009-05-31,sell_price,353000.0,472000.0,546000.0,Belmont North,unit
2009-06-30,sell_price,341000.0,368000.0,368000.0,Belmont North,house
2009-06-30,sell_price,354000.0,515000.0,548000.0,Belmont North,unit
2009-07-31,sell_price,340000.0,368000.0,369000.0,Belmont North,house
2009-07-31,sell_price,354000.0,518000.0,551000.0,Belmont North,unit
2009-08-31,sell_price,340000.0,370000.0,370000.0,Belmont North,house
2009-08-31,sell_price,354000.0,495000.0,551000.0,Belmont North,unit
2009-09-30,sell_price,335000.0,371000.0,370000.0,Belmont North,house
2009-09-30,sell_price,354000.0,498000.0,557000.0,Belmont North,unit
2009-10-31,sell_price,354000.0,494000.0,598000.0,Belmont North,unit
2009-10-31,sell_price,337000.0,370000.0,370000.0,Belmont North,house
2009-11-30,sell_price,352000.0,494000.0,602000.0,Belmont North,unit
2009-11-30,sell_price,337000.0,371000.0,370000.0,Belmont North,house
2009-12-31,sell_price,352000.0,494000.0,602000.0,Belmont North,unit
2009-12-31,sell_price,339000.0,374000.0,374000.0,Belmont North,house
2010-01-31,sell_price,352000.0,494000.0,603000.0,Belmont North,unit
2010-01-31,sell_price,338000.0,374000.0,374000.0,Belmont North,house
2010-02-28,sell_price,339000.0,376000.0,378000.0,Belmont North,house
2010-02-28,sell_price,352000.0,494000.0,603000.0,Belmont North,unit
2010-03-31,sell_price,341000.0,378000.0,380000.0,Belmont North,house
2010-03-31,sell_price,350000.0,495000.0,603000.0,Belmont North,unit
2010-04-30,sell_price,349000.0,492000.0,592000.0,Belmont North,unit
2010-04-30,sell_price,343000.0,377000.0,379000.0,Belmont North,house
2010-05-31,sell_price,349000.0,479000.0,558000.0,Belmont North,unit
2010-05-31,sell_price,348000.0,379000.0,379000.0,Belmont North,house
2010-06-30,sell_price,349000.0,478000.0,559000.0,Belmont North,unit
2010-06-30,sell_price,355000.0,380000.0,381000.0,Belmont North,house
2010-07-31,sell_price,358000.0,381000.0,383000.0,Belmont North,house
2010-07-31,sell_price,349000.0,478000.0,558000.0,Belmont North,unit
2010-08-31,sell_price,362000.0,382000.0,385000.0,Belmont North,house
2010-08-31,sell_price,354000.0,479000.0,562000.0,Belmont North,unit
2010-09-30,sell_price,362000.0,384000.0,386000.0,Belmont North,house
2010-09-30,sell_price,354000.0,479000.0,560000.0,Belmont North,unit
2010-10-31,sell_price,363000.0,385000.0,387000.0,Belmont North,house
2010-10-31,sell_price,354000.0,479000.0,559000.0,Belmont North,unit
2010-11-30,sell_price,364000.0,386000.0,386000.0,Belmont North,house
2010-11-30,sell_price,356000.0,480000.0,560000.0,Belmont North,unit
2010-12-31,sell_price,356000.0,479000.0,557000.0,Belmont North,unit
2010-12-31,sell_price,366000.0,386000.0,385000.0,Belmont North,house
2011-01-31,sell_price,366000.0,386000.0,384000.0,Belmont North,house
2011-01-31,sell_price,356000.0,479000.0,555000.0,Belmont North,unit
2011-02-28,sell_price,369000.0,387000.0,385000.0,Belmont North,house
2011-02-28,sell_price,358000.0,459000.0,556000.0,Belmont North,unit
2011-03-31,sell_price,359000.0,460000.0,558000.0,Belmont North,unit
2011-03-31,sell_price,379000.0,390000.0,387000.0,Belmont North,house
2011-04-30,sell_price,385000.0,391000.0,388000.0,Belmont North,house
2011-04-30,sell_price,358000.0,464000.0,559000.0,Belmont North,unit
2011-05-31,sell_price,353000.0,465000.0,559000.0,Belmont North,unit
2011-05-31,sell_price,385000.0,394000.0,390000.0,Belmont North,house
2011-06-30,sell_price,348000.0,467000.0,559000.0,Belmont North,unit
2011-06-30,sell_price,384000.0,394000.0,391000.0,Belmont North,house
2011-07-31,sell_price,348000.0,470000.0,566000.0,Belmont North,unit
2011-07-31,sell_price,384000.0,395000.0,393000.0,Belmont North,house
2011-08-31,sell_price,384000.0,394000.0,392000.0,Belmont North,house
2011-08-31,sell_price,346000.0,471000.0,568000.0,Belmont North,unit
2011-09-30,sell_price,346000.0,469000.0,568000.0,Belmont North,unit
2011-09-30,sell_price,387000.0,394000.0,392000.0,Belmont North,house
2011-10-31,sell_price,389000.0,395000.0,392000.0,Belmont North,house
2011-10-31,sell_price,346000.0,469000.0,564000.0,Belmont North,unit
2011-11-30,sell_price,346000.0,470000.0,566000.0,Belmont North,unit
2011-11-30,sell_price,392000.0,394000.0,391000.0,Belmont North,house
2011-12-31,sell_price,396000.0,395000.0,391000.0,Belmont North,house
2011-12-31,sell_price,346000.0,471000.0,566000.0,Belmont North,unit
2012-01-31,sell_price,349000.0,472000.0,567000.0,Belmont North,unit
2012-01-31,sell_price,391000.0,395000.0,394000.0,Belmont North,house
2012-02-29,sell_price,349000.0,472000.0,566000.0,Belmont North,unit
2012-02-29,sell_price,390000.0,404000.0,397000.0,Belmont North,house
2012-03-31,sell_price,350000.0,469000.0,568000.0,Belmont North,unit
2012-03-31,sell_price,392000.0,412000.0,399000.0,Belmont North,house
2012-04-30,sell_price,350000.0,470000.0,568000.0,Belmont North,unit
2012-04-30,sell_price,383000.0,410000.0,399000.0,Belmont North,house
2012-05-31,sell_price,350000.0,467000.0,566000.0,Belmont North,unit
2012-05-31,sell_price,390000.0,410000.0,400000.0,Belmont North,house
2012-06-30,sell_price,350000.0,485000.0,619000.0,Belmont North,unit
2012-06-30,sell_price,381000.0,409000.0,398000.0,Belmont North,house
2012-07-31,sell_price,389000.0,409000.0,399000.0,Belmont North,house
2012-07-31,sell_price,364000.0,491000.0,637000.0,Belmont North,unit
2012-08-31,sell_price,389000.0,410000.0,401000.0,Belmont North,house
2012-08-31,sell_price,365000.0,505000.0,674000.0,Belmont North,unit
2012-09-30,sell_price,383000.0,411000.0,402000.0,Belmont North,house
2012-09-30,sell_price,361000.0,517000.0,705000.0,Belmont North,unit
2012-10-31,sell_price,384000.0,405000.0,404000.0,Belmont North,house
2012-10-31,sell_price,361000.0,518000.0,706000.0,Belmont North,unit
2012-11-30,sell_price,361000.0,519000.0,707000.0,Belmont North,unit
2012-11-30,sell_price,392000.0,404000.0,404000.0,Belmont North,house
2012-12-31,sell_price,391000.0,405000.0,406000.0,Belmont North,house
2012-12-31,sell_price,367000.0,508000.0,678000.0,Belmont North,unit
2013-01-31,sell_price,388000.0,406000.0,407000.0,Belmont North,house
2013-01-31,sell_price,372000.0,507000.0,671000.0,Belmont North,unit
2013-02-28,sell_price,372000.0,496000.0,640000.0,Belmont North,unit
2013-02-28,sell_price,390000.0,431000.0,475000.0,Belmont North,house
2013-03-31,sell_price,392000.0,432000.0,474000.0,Belmont North,house
2013-03-31,sell_price,372000.0,496000.0,639000.0,Belmont North,unit
2013-04-30,sell_price,389000.0,434000.0,475000.0,Belmont North,house
2013-04-30,sell_price,372000.0,491000.0,628000.0,Belmont North,unit
2013-05-31,sell_price,391000.0,436000.0,479000.0,Belmont North,house
2013-05-31,sell_price,372000.0,487000.0,608000.0,Belmont North,unit
2013-06-30,sell_price,373000.0,531000.0,606000.0,Belmont North,unit
2013-06-30,sell_price,388000.0,437000.0,478000.0,Belmont North,house
2013-07-31,sell_price,390000.0,438000.0,478000.0,Belmont North,house
2013-07-31,sell_price,373000.0,532000.0,608000.0,Belmont North,unit
2013-08-31,sell_price,373000.0,533000.0,609000.0,Belmont North,unit
2013-08-31,sell_price,394000.0,439000.0,482000.0,Belmont North,house
2013-09-30,sell_price,373000.0,535000.0,614000.0,Belmont North,unit
2013-09-30,sell_price,393000.0,441000.0,484000.0,Belmont North,house
2013-10-31,sell_price,378000.0,536000.0,616000.0,Belmont North,unit
2013-10-31,sell_price,391000.0,442000.0,486000.0,Belmont North,house
2013-11-30,sell_price,381000.0,538000.0,621000.0,Belmont North,unit
2013-11-30,sell_price,392000.0,444000.0,488000.0,Belmont North,house
2013-12-31,sell_price,392000.0,447000.0,493000.0,Belmont North,house
2013-12-31,sell_price,385000.0,538000.0,624000.0,Belmont North,unit
2014-01-31,sell_price,385000.0,552000.0,593000.0,Belmont North,unit
2014-01-31,sell_price,397000.0,442000.0,484000.0,Belmont North,house
2014-02-28,sell_price,388000.0,553000.0,596000.0,Belmont North,unit
2014-02-28,sell_price,398000.0,445000.0,488000.0,Belmont North,house
2014-03-31,sell_price,388000.0,558000.0,596000.0,Belmont North,unit
2014-03-31,sell_price,413000.0,449000.0,492000.0,Belmont North,house
2014-04-30,sell_price,417000.0,452000.0,498000.0,Belmont North,house
2014-04-30,sell_price,388000.0,598000.0,597000.0,Belmont North,unit
2014-05-31,sell_price,388000.0,603000.0,597000.0,Belmont North,unit
2014-05-31,sell_price,425000.0,455000.0,499000.0,Belmont North,house
2014-06-30,sell_price,388000.0,597000.0,598000.0,Belmont North,unit
2014-06-30,sell_price,424000.0,444000.0,461000.0,Belmont North,house
2014-07-31,sell_price,428000.0,444000.0,460000.0,Belmont North,house
2014-07-31,sell_price,388000.0,586000.0,589000.0,Belmont North,unit
2014-08-31,sell_price,388000.0,544000.0,591000.0,Belmont North,unit
2014-08-31,sell_price,426000.0,445000.0,456000.0,Belmont North,house
2014-09-30,sell_price,430000.0,449000.0,459000.0,Belmont North,house
2014-09-30,sell_price,388000.0,540000.0,578000.0,Belmont North,unit
2014-10-31,sell_price,430000.0,452000.0,461000.0,Belmont North,house
2014-10-31,sell_price,388000.0,542000.0,578000.0,Belmont North,unit
2014-11-30,sell_price,390000.0,543000.0,578000.0,Belmont North,unit
2014-11-30,sell_price,437000.0,455000.0,466000.0,Belmont North,house
2014-12-31,sell_price,395000.0,543000.0,572000.0,Belmont North,unit
2014-12-31,sell_price,438000.0,458000.0,470000.0,Belmont North,house
2015-01-31,sell_price,395000.0,540000.0,562000.0,Belmont North,unit
2015-01-31,sell_price,444000.0,461000.0,472000.0,Belmont North,house
2015-02-28,sell_price,395000.0,518000.0,560000.0,Belmont North,unit
2015-02-28,sell_price,443000.0,462000.0,474000.0,Belmont North,house
2015-03-31,sell_price,395000.0,507000.0,562000.0,Belmont North,unit
2015-03-31,sell_price,451000.0,466000.0,478000.0,Belmont North,house
2015-04-30,sell_price,462000.0,467000.0,478000.0,Belmont North,house
2015-04-30,sell_price,397000.0,507000.0,562000.0,Belmont North,unit
2015-05-31,sell_price,400000.0,457000.0,560000.0,Belmont North,unit
2015-05-31,sell_price,469000.0,471000.0,482000.0,Belmont North,house
2015-06-30,sell_price,400000.0,457000.0,559000.0,Belmont North,unit
2015-06-30,sell_price,469000.0,474000.0,483000.0,Belmont North,house
2015-07-31,sell_price,400000.0,456000.0,558000.0,Belmont North,unit
2015-07-31,sell_price,470000.0,476000.0,486000.0,Belmont North,house
2015-08-31,sell_price,470000.0,478000.0,489000.0,Belmont North,house
2015-08-31,sell_price,400000.0,453000.0,554000.0,Belmont North,unit
2015-09-30,sell_price,468000.0,479000.0,489000.0,Belmont North,house
2015-09-30,sell_price,400000.0,454000.0,553000.0,Belmont North,unit
2015-10-31,sell_price,462000.0,482000.0,492000.0,Belmont North,house
2015-10-31,sell_price,400000.0,453000.0,552000.0,Belmont North,unit
2015-11-30,sell_price,461000.0,485000.0,495000.0,Belmont North,house
2015-11-30,sell_price,400000.0,453000.0,553000.0,Belmont North,unit
2015-12-31,sell_price,461000.0,488000.0,499000.0,Belmont North,house
2015-12-31,sell_price,403000.0,456000.0,561000.0,Belmont North,unit
2016-01-31,sell_price,409000.0,457000.0,562000.0,Belmont North,unit
2016-01-31,sell_price,461000.0,489000.0,501000.0,Belmont North,house
2016-02-29,sell_price,467000.0,491000.0,503000.0,Belmont North,house
2016-02-29,sell_price,414000.0,460000.0,565000.0,Belmont North,unit
2016-03-31,sell_price,465000.0,494000.0,504000.0,Belmont North,house
2016-03-31,sell_price,414000.0,463000.0,570000.0,Belmont North,unit
2016-04-30,sell_price,462000.0,496000.0,505000.0,Belmont North,house
2016-04-30,sell_price,414000.0,465000.0,576000.0,Belmont North,unit
2016-05-31,sell_price,467000.0,499000.0,508000.0,Belmont North,house
2016-05-31,sell_price,414000.0,468000.0,584000.0,Belmont North,unit
2016-06-30,sell_price,479000.0,504000.0,512000.0,Belmont North,house
2016-06-30,sell_price,414000.0,471000.0,589000.0,Belmont North,unit
2016-07-31,sell_price,488000.0,506000.0,513000.0,Belmont North,house
2016-07-31,sell_price,419000.0,473000.0,590000.0,Belmont North,unit
2016-08-31,sell_price,491000.0,508000.0,515000.0,Belmont North,house
2016-08-31,sell_price,419000.0,475000.0,593000.0,Belmont North,unit
2016-09-30,sell_price,500000.0,512000.0,518000.0,Belmont North,house
2016-09-30,sell_price,423000.0,475000.0,595000.0,Belmont North,unit
2016-10-31,sell_price,498000.0,517000.0,524000.0,Belmont North,house
2016-10-31,sell_price,425000.0,476000.0,593000.0,Belmont North,unit
2016-11-30,sell_price,425000.0,479000.0,594000.0,Belmont North,unit
2016-11-30,sell_price,506000.0,524000.0,526000.0,Belmont North,house
2016-12-31,sell_price,510000.0,529000.0,531000.0,Belmont North,house
2016-12-31,sell_price,425000.0,504000.0,607000.0,Belmont North,unit
2017-01-31,sell_price,425000.0,506000.0,608000.0,Belmont North,unit
2017-01-31,sell_price,510000.0,528000.0,530000.0,Belmont North,house
2017-02-28,sell_price,510000.0,533000.0,538000.0,Belmont North,house
2017-02-28,sell_price,426000.0,510000.0,611000.0,Belmont North,unit
2017-03-31,sell_price,426000.0,515000.0,607000.0,Belmont North,unit
2017-03-31,sell_price,516000.0,539000.0,541000.0,Belmont North,house
2017-04-30,sell_price,426000.0,512000.0,597000.0,Belmont North,unit
2017-04-30,sell_price,519000.0,543000.0,546000.0,Belmont North,house
2017-05-31,sell_price,521000.0,551000.0,554000.0,Belmont North,house
2017-05-31,sell_price,426000.0,513000.0,596000.0,Belmont North,unit
2017-06-30,sell_price,536000.0,557000.0,560000.0,Belmont North,house
2017-06-30,sell_price,426000.0,516000.0,598000.0,Belmont North,unit
2017-07-31,sell_price,535000.0,561000.0,569000.0,Belmont North,house
2017-07-31,sell_price,426000.0,517000.0,597000.0,Belmont North,unit
2017-08-31,sell_price,426000.0,518000.0,597000.0,Belmont North,unit
2017-08-31,sell_price,554000.0,565000.0,573000.0,Belmont North,house
2017-09-30,sell_price,556000.0,569000.0,575000.0,Belmont North,house
2017-09-30,sell_price,426000.0,587000.0,608000.0,Belmont North,unit
2017-10-31,sell_price,562000.0,574000.0,578000.0,Belmont North,house
2017-10-31,sell_price,426000.0,614000.0,671000.0,Belmont North,unit
2017-11-30,sell_price,428000.0,620000.0,682000.0,Belmont North,unit
2017-11-30,sell_price,573000.0,580000.0,581000.0,Belmont North,house
2017-12-31,sell_price,581000.0,590000.0,591000.0,Belmont North,house
2017-12-31,sell_price,431000.0,625000.0,691000.0,Belmont North,unit
2018-01-31,sell_price,581000.0,594000.0,594000.0,Belmont North,house
2018-01-31,sell_price,431000.0,625000.0,689000.0,Belmont North,unit
2018-02-28,sell_price,590000.0,598000.0,597000.0,Belmont North,house
2018-02-28,sell_price,431000.0,625000.0,686000.0,Belmont North,unit
2018-03-31,sell_price,598000.0,603000.0,604000.0,Belmont North,house
2018-03-31,sell_price,439000.0,618000.0,662000.0,Belmont North,unit
2018-04-30,sell_price,602000.0,606000.0,607000.0,Belmont North,house
2018-04-30,sell_price,445000.0,610000.0,656000.0,Belmont North,unit
2018-05-31,sell_price,446000.0,610000.0,656000.0,Belmont North,unit
2018-05-31,sell_price,622000.0,611000.0,614000.0,Belmont North,house
2018-06-30,sell_price,446000.0,617000.0,674000.0,Belmont North,unit
2018-06-30,sell_price,622000.0,614000.0,615000.0,Belmont North,house
2018-07-31,sell_price,623000.0,617000.0,620000.0,Belmont North,house
2018-07-31,sell_price,451000.0,623000.0,689000.0,Belmont North,unit
2018-08-31,sell_price,633000.0,622000.0,628000.0,Belmont North,house
2018-08-31,sell_price,453000.0,596000.0,690000.0,Belmont North,unit
2018-09-30,sell_price,632000.0,627000.0,631000.0,Belmont North,house
2018-09-30,sell_price,453000.0,589000.0,688000.0,Belmont North,unit
2018-10-31,sell_price,637000.0,632000.0,635000.0,Belmont North,house
2018-10-31,sell_price,453000.0,565000.0,684000.0,Belmont North,unit
2018-11-30,sell_price,453000.0,564000.0,687000.0,Belmont North,unit
2018-11-30,sell_price,632000.0,630000.0,638000.0,Belmont North,house
2018-12-31,sell_price,624000.0,631000.0,634000.0,Belmont North,house
2018-12-31,sell_price,453000.0,564000.0,688000.0,Belmont North,unit
2019-01-31,sell_price,453000.0,564000.0,698000.0,Belmont North,unit
2019-01-31,sell_price,625000.0,629000.0,632000.0,Belmont North,house
2019-02-28,sell_price,630000.0,628000.0,631000.0,Belmont North,house
2019-02-28,sell_price,453000.0,561000.0,696000.0,Belmont North,unit
2019-03-31,sell_price,629000.0,629000.0,630000.0,Belmont North,house
2019-03-31,sell_price,457000.0,554000.0,676000.0,Belmont North,unit
2019-04-30,sell_price,626000.0,627000.0,630000.0,Belmont North,house
2019-04-30,sell_price,457000.0,555000.0,675000.0,Belmont North,unit
2019-05-31,sell_price,457000.0,560000.0,687000.0,Belmont North,unit
2019-05-31,sell_price,624000.0,627000.0,630000.0,Belmont North,house
2019-06-30,sell_price,611000.0,626000.0,628000.0,Belmont North,house
2019-06-30,sell_price,457000.0,548000.0,648000.0,Belmont North,unit
2019-07-31,sell_price,605000.0,625000.0,625000.0,Belmont North,house
2019-07-31,sell_price,462000.0,546000.0,639000.0,Belmont North,unit
2019-08-31,sell_price,467000.0,543000.0,632000.0,Belmont North,unit
2019-08-31,sell_price,598000.0,624000.0,624000.0,Belmont North,house
2019-09-30,sell_price,582000.0,623000.0,623000.0,Belmont North,house
2019-09-30,sell_price,475000.0,539000.0,621000.0,Belmont North,unit
2019-10-31,sell_price,567000.0,623000.0,621000.0,Belmont North,house
2019-10-31,sell_price,482000.0,540000.0,622000.0,Belmont North,unit
2019-11-30,sell_price,566000.0,623000.0,619000.0,Belmont North,house
2019-11-30,sell_price,482000.0,540000.0,622000.0,Belmont North,unit
2019-12-31,sell_price,482000.0,538000.0,621000.0,Belmont North,unit
2019-12-31,sell_price,574000.0,625000.0,624000.0,Belmont North,house
